"Row"	"Column"	"Gene"
11	44	"C1C1 rho c1e1 pr30"
11	45	"C1C1 rho c1e1 pr30"
11	46	"C1C1 rho c1e1 pr30"
11	47	"C1C1 rho c1e1 pr30"
11	48	"C1C1 rho c1e1 pr30"
12	1	"C1C1 rho c1e1 pr25"
12	2	"C1C1 rho c1e1 pr25"
12	3	"C1C1 rho c1e1 pr25"
12	4	"C1C1 rho c1e1 pr25"
12	5	"C1C1 rho c1e1 pr25"
12	6	"C1C1 rho c1e1 pr25"
12	7	"C1C1 rho c1e1 pr25"
12	8	"C1C1 rho c1e1 pr25"
12	9	"C1C1 rho c1e1 pr26"
12	10	"C1C1 rho c1e1 pr26"
12	11	"C1C1 rho c1e1 pr26"
12	12	"C1C1 rho c1e1 pr26"
12	13	"C1C1 rho c1e1 pr26"
12	14	"C1C1 rho c1e1 pr26"
12	15	"C1C1 rho c1e1 pr26"
12	16	"C1C1 rho c1e1 pr26"
12	17	"C1C1 rho c1e1 pr27"
12	18	"C1C1 rho c1e1 pr27"
12	19	"C1C1 rho c1e1 pr27"
12	20	"C1C1 rho c1e1 pr27"
12	21	"C1C1 rho c1e1 pr27"
12	22	"C1C1 rho c1e1 pr27"
12	23	"C1C1 rho c1e1 pr27"
12	24	"C1C1 rho c1e1 pr27"
12	25	"C1C1 rho c1e1 pr28"
12	26	"C1C1 rho c1e1 pr28"
12	27	"C1C1 rho c1e1 pr28"
12	28	"C1C1 rho c1e1 pr28"
12	29	"C1C1 rho c1e1 pr28"
12	30	"C1C1 rho c1e1 pr28"
12	31	"C1C1 rho c1e1 pr28"
12	32	"C1C1 rho c1e1 pr28"
12	33	"C1C1 rho c1e1 pr29"
12	34	"C1C1 rho c1e1 pr29"
12	35	"C1C1 rho c1e1 pr29"
12	36	"C1C1 rho c1e1 pr29"
12	37	"C1C1 rho c1e1 pr29"
12	38	"C1C1 rho c1e1 pr29"
12	39	"C1C1 rho c1e1 pr29"
12	40	"C1C1 rho c1e1 pr29"
12	41	"C1C1 rho c1e1 pr30"
12	42	"C1C1 rho c1e1 pr30"
12	43	"C1C1 rho c1e1 pr30"
12	44	"C1C1 rho c1e1 pr30"
12	45	"C1C1 rho c1e1 pr30"
12	46	"C1C1 rho c1e1 pr30"
12	47	"C1C1 rho c1e1 pr30"
12	48	"C1C1 rho c1e1 pr30"
13	1	"C1C1 rho c1e1 pr37"
13	2	"C1C1 rho c1e1 pr37"
13	3	"C1C1 rho c1e1 pr37"
13	4	"C1C1 rho c1e1 pr37"
13	5	"C1C1 rho c1e1 pr37"
13	6	"C1C1 rho c1e1 pr37"
13	7	"C1C1 rho c1e1 pr37"
13	8	"C1C1 rho c1e1 pr37"
13	9	"C1C1 rho c1e1 pr38"
13	10	"C1C1 rho c1e1 pr38"
13	11	"C1C1 rho c1e1 pr38"
13	12	"C1C1 rho c1e1 pr38"
13	13	"C1C1 rho c1e1 pr38"
13	14	"C1C1 rho c1e1 pr38"
13	15	"C1C1 rho c1e1 pr38"
13	16	"C1C1 rho c1e1 pr38"
13	17	"C1C1 rho c1e1 pr39"
13	18	"C1C1 rho c1e1 pr39"
13	19	"C1C1 rho c1e1 pr39"
13	20	"C1C1 rho c1e1 pr39"
13	21	"C1C1 rho c1e1 pr39"
13	22	"C1C1 rho c1e1 pr39"
13	23	"C1C1 rho c1e1 pr39"
13	24	"C1C1 rho c1e1 pr39"
13	25	"C1C1 rho c1e1 pr40"
13	26	"C1C1 rho c1e1 pr40"
13	27	"C1C1 rho c1e1 pr40"
13	28	"C1C1 rho c1e1 pr40"
13	29	"C1C1 rho c1e1 pr40"
13	30	"C1C1 rho c1e1 pr40"
13	31	"C1C1 rho c1e1 pr40"
13	32	"C1C1 rho c1e1 pr40"
13	33	"C1C1 rho c1e1 pr41"
13	34	"C1C1 rho c1e1 pr41"
13	35	"C1C1 rho c1e1 pr41"
13	36	"C1C1 rho c1e1 pr41"
13	37	"C1C1 rho c1e1 pr41"
13	38	"C1C1 rho c1e1 pr41"
13	39	"C1C1 rho c1e1 pr41"
13	40	"C1C1 rho c1e1 pr41"
13	41	"C1C1 rho c1e1 pr42"
13	42	"C1C1 rho c1e1 pr42"
13	43	"C1C1 rho c1e1 pr42"
13	44	"C1C1 rho c1e1 pr42"
13	45	"C1C1 rho c1e1 pr42"
13	46	"C1C1 rho c1e1 pr42"
13	47	"C1C1 rho c1e1 pr42"
13	48	"C1C1 rho c1e1 pr42"
14	1	"C1C1 rho c1e1 pr37"
14	2	"C1C1 rho c1e1 pr37"
14	3	"C1C1 rho c1e1 pr37"
14	4	"C1C1 rho c1e1 pr37"
14	5	"C1C1 rho c1e1 pr37"
14	6	"C1C1 rho c1e1 pr37"
14	7	"C1C1 rho c1e1 pr37"
14	8	"C1C1 rho c1e1 pr37"
14	9	"C1C1 rho c1e1 pr38"
14	10	"C1C1 rho c1e1 pr38"
14	11	"C1C1 rho c1e1 pr38"
14	12	"C1C1 rho c1e1 pr38"
14	13	"C1C1 rho c1e1 pr38"
14	14	"C1C1 rho c1e1 pr38"
14	15	"C1C1 rho c1e1 pr38"
14	16	"C1C1 rho c1e1 pr38"
14	17	"C1C1 rho c1e1 pr39"
